label,clean_text
neg,achanak khawaja saad rafiqu khiyaal aagaya woh bhe peshawar line pai 10 saal train nahe guzri
neg,adha drama to censor hi hojay gaa khaa tor basant singh babrik shah wala part dramon kay naam chang kernay ki tuk banti iss bewaqoofi ki waja samajh main aay mushkil hindi naamon indian movi bhi to pakistan main releas hoti hain jesay katha sangharsh abodh gaman andolan kartavya avtaar satyamev jayat nishaant aakrosh akarshan etc mushkil hindi name to urdu main convert kerta
neg,bekaar fuzool end moti budhi laila jeet gaye laila doosri larkiyon meesni keh jabkay laila sub bari meesni aliya aleena main desi kuri titl win kerti to theek hota
neg,choor kasuri choor jhootay moo kaala
neg,gali gali mein shor gaaanjaaaa shair chor
neg,hum kia hamari logic kia bhonkoon mute bhonk andaza laganay koshish kar rahey jhoot mein kitna dam waisey yeah offshor compani paisa kehan aaaaya
neg,imran khan altaf hussain chachoo haroon sadmey nikal aao futur main jo bhi magar ik sahab ney apney aap key saath buhut hi bura kar dala aney wala waqt hi batayey ga jo agar thori buhut ume woh bhi mutti main
neg,lagta sab bhonkay hath xaray kar rahay panama tufaan aanay imkaan nahein tumhari galian beta rehi ke tum kitney frustrat hoooo
neg,merey bahi tum say kaha rahey hoo main tum ak cheez clear kardoon mqm kabhi start nahi kartey haan end zaroor kartey true yar main buhat pashtoon janta hoon ju kabhi cheezoon favour nahi kartey anp ju sirf pashtoon naam use karkey karachi main drag weapon qabsa kill kar urdu speak pashtoon lara as pakistani ham sab ak dosra accept karna chay jahan mqm key qabsey ki baat farq nahi pharta merey bahi still karachi main sab lug abaad haan jee rahay haan sab haal sirf ak hi ak dafa bagr kasey farq key pura karachi oper kar dye weapon rahey ga masla chalta rahey ga allaha ham sab key diloon main dusrey key liy mohabaat pada karey
neg,nawaz khanzaaney moun khul chukaa sab kha rahi han
neg,pakistan samsung ke jo model new avail hain sab cheap model hain note4 9octacor processor wala sirf 3g support
neg,sharifoon tau pehley baray galeez galain detey rahey zra late hau gia phlay apnay baap ki haram ki kamai answer sponsor link
neg,phlay apnay baap ki haram ki kamai answer haram tau pala hua lagta baat seedhi nahein nikalti terey munh
neg,tumhari tarhan har rooti chochi kehta phuddu unko banao jo ban jayen pm ga tum logon sari duniya janti kiss tarhan pm bana merit lay kar ao to iski pori famili ek banda bhi 16 grade bhi naukari hasil na kar sakh india rooz proxi war humar logon mar raha chaprasi insan monh main zuban jo sakh bharat shamil sab main apnay log sambhal rahe arbi pitho chala saudia arab ki hifazat karn
neg,waisey yeah offshor compani paisa kehan aaaaya aaap ijazat shukria tell waisey yeah offshor compani paisa aaaaya kehan
neg,yarr tumhari logic hamesha hi bohat nirali hoti pakistan qoom almiya ji ki oqat chiprasi ki woh pm ban gaya aman sab chaht hain nechay lag kar ankhon main ankhain dal kar baat karo chaprasi bharat aisa darta jaisay isk ghar rashan wahan ata mulk pm bana karobar chor kar pakistani qoom soch
neg,aaap ijazat shukria tell waisey yeah offshor compani paisa kehan aaaaya jutt riskyy kee pee kay nooray kay haraam pasay kee whiski sooo jaaa neen aye tujay
neg,bongayyy tren actorz apa main milwaye gi
neg,bozdil amrica
neg,iphon kisi kaam nhi apn pese zaia nhi karo
neg,moral valu khatam hi gaey hain hum main
neg,patwari biyan aaya dalal biyan jo us nae kashif abbasi program mae diya ppp nae bi badley boht diya
neg,ullo kay patha leader imran
neg,train to shahbaz shareef chala laya tha
neg,`` aap jinab `` kay achanak `` `` `` `` ker kay baten shroo ker detay to bohot bura cheap amp annoy lagta hsi kuchh adaab tameez manner bhi seekh lo
neg,`` aj to main bhee kahta hoon ya drama ... sorri waqa sahab ... bilal lishari ki apni soch kahan 16 crore ke waar kahan 50crore ke yalghaar .. pesa hi zaya keya ... dil torney kelia thank ``
neg,sahil jaan bhai fault es men ye cloud download ni krta
neg,bhi pakistani jhoti siasat musalman munafiq bana deti
neg,hgj pic clear nhi nazer rhi bari pic post kro phir. maza nahi aaya
neg,ye pti khilaaf ya pak oar awam sath zulm ki ibtada he wht mean ek
neg,resign bhai topi drama chalega
neg,... zulam saa bahu saat bhi nhi karti jitna brazil saat rha ... ... ... .. khikhikhi
neg,... bohot si bewaqoof larkiyun ki bhi shaadi honi chahiy jo apni ahmaqana herkaton apna gher tabah kerti hain jin ki sirf achi shakal honay ki waja shaadi to hojati magar dimagh naam ki cheez paye jaati main
neg,.. han kutta marri to ilzam pakistan py he lagati sy kia takra ..
neg,.. jahangir tareen ke fateh khush fehmi shikar jye ge
neg,.. sir kpk road net work bahut bura he ...
neg,.. ﻿kuch loog ghatiya to hotay han na
neg,iss tarah tau dr aasim ki tarah imran khan bhi gariftaar karna banta hy
neg,sh rashe sahib pamist hain he ik haath deykh kr jawab dy sekti hain
neg,afridi look shahrukh sad hain na rulao shahrukh ye to dunia khushain bant ty hain go lala go
neg,zar paraston ne zinda awam sath sath lashon bhi saudi kiy jahilon jo bhi vote dega woh bhi ahmaq hoga
neg,plz achi bate krna ... agar app jldi jao to dill toot jta hh ... mujhay achi karo to nahi
neg,// paisa he khuda hy jang group paisa jooooooooo marzi kerwa lo
neg,/// land mafia ki govt sarprasti karti warna land mafia himmat
neg,origin post insafseek kabhi research ker kay dekhna jaati umrah kaisay bana tha afzal khokhar malik shafi khokhar rauwind mpa mna kaisay kaisay qabza ker zameen dilwatay thay tao islamabad ki kachi abadian mamoli baat laga gee
neg,bat btao reham khan nhe pta ik cocain peta tha hw knw di ... tmhara chachu
neg,ganta agay karlo ya du hourz kohi faraq nahi pharta log ossi time khul rahe shop light utni hi jitni pehl jati gov hi public saath nahi to agay sakta govt main govt bari seat walo aram diya jata unk bill govt barti to unk gharo main du du to ac hote unko to kohi nahi dekta common peopl pechey govt pari fair with us ... ... ...
neg,ghanta agay karnay hua bal kay insan pareshaniyan uthani pari
neg,hi recip bar bar .. toba
neg,niwala lene ke hi pani mangna parta mujh laga ke gosht pe masala bohot ziada lag jata jise ki waja aisa bura hota baki sabzi waghera ke sath ye shikayat nahi aai
neg,to hr waqt bhook lg jati buri sy bura khana bhee khaa jati
neg,10 lakh choren din show ni chalay ga to kitni hi lakh jaeyn
neg,10 min window ye kesi mumkin zaror ye jugar hoga jugar nuksan he hota way will never tri
neg,10 saal guzarnay kay drama bore hogya larkiyan bari ker overact ker hain kyunkay script kaafi kamzor chhoti si kahani zabardasti khench taan ker lamba kya jata to ye hashar hota
neg,100 truewo kapil idiot intehai bongayyyyyyyyyyyyy treen joke krta stupid usi jaisayyy indianz hansi ajati lolz
neg,12000 qeemat hojai sub qmobil ki tareef kareng isliy ke mobil ki asal jaga hi he
neg,150 bacho uae le ehsan nahi ker rehe tumy kisi project tha tune ba apna nam show kia
neg,150 bundi mulbi tali dabi hue heen ye bc reham pe program kar raha hee
neg,15000 jese 15 set ajaygay he kya nokia walo dimakh kharab hogay
neg,17 crore awam 20 crore main baech dia aglay raymond shikar hum ya humar piyarey bahi saktey hain begairt hukrano bacha
neg,1o pakistani cloth rakhi pehnay huway hain gud yar american prostitut jaisa libaa veena that too gud 2who wa sala zobi dobi 3i love zubi dubi kay uss ki waja veena ki thukae hoee
neg,1st jo bohat galat mager xulqarnain haider aisa nahe krna chahiy tha bcox jais unhun aisay buxdil log krtay hain jahan tk rahe pcb ki baat to sure ye pcb he adnan akmal krnay liy ... ... ... ... ...
neg,gont pani to dub kar mar jayo
neg,din ma 17k price kam ya kya standard iphon
neg,takki log siasat kr rhi hy
neg,front camra ki kam ki save ki memori na battri 2gant chale
neg,kannnjjjjar tv
neg,saal main tw hamid mir goli lagn wala drama complet nhi hua school kaisi theek hongay
neg,gum hain khan tweet hum afsurda hain
neg,takay ki naqli moochen aanay bekaar hairband laga ker qasai hi lagay gaa
neg,20 sal nahusat phelai hui tum .. jan chor .. laalchi admi ..
neg,2005 imran khan liay zilat bhara saal raha special karachi sy jo zilat mili hy woh yaad rakhni hy
neg,2014 bura raha inshallah 2015 bura rahay ga imran khan kay liya
neg,2015 imran khan lia bura sal raha
neg,300 zidha bike 10 car 100 school adopt har villag wader 15 lac mir sab shaft karin dalali allah ne new life di
neg,35 punctur wala jhoota insan mein kabi apni qom jhoot nahein bologna sirf pm banen lay jhoot bologna
neg,3rd class darama junaid apni ayashi karnay kay bad realiz kia kay us muhabat nahe karta ayesha waisi hi nikli kay us kay janay wait karti
neg,month drama deikho time nikaal dilchaspi sy sari episod deikhi ghatia end kia drami writer pagal gya tha end py jo end fazool kia﻿
neg,din baaki bhoot aanay main pkaaou aay ga aa kr dimagh hi kray ga ... ... ..
neg,dn pehli lifafio kehti suna tha nov imran khan ki siasat khatm jayegi kia hua lifafio aj
neg,4g bass likha howa chalta
neg,din pehl dost dilwaya ye set display bohat hi ghatya
neg,match khelnay walay analyst banaya hua logon ne
neg,inch py 3300mah batteri ra samsung bohat disappoint
neg,50 walay intel baat karli hogi ya kisi bahir ki compani project dediya hoga kyon next elect mein face bhi dekhna passand nahi karay ga
neg,5th episod kay bhi bohot bore ye drama promot main to ye dawa tha kay ye drama mehnga tareen serial lekin tamam paisay kahan lagay ye abhi to kaheen bhi dikhaye nehi de raha
neg,dafa ye bakwa movi ... tumhen kaam nahi
neg,68 yr ye pehl wise hukmran aay hn jinhon ne chutti khatam ki pehley wale sab foolish thay
neg,70 saal ji ne ye gand pehlaya safahi may time lgay ga
neg,900 chohi kha bili hajj challi
neg,9th 10th exam alag alag chaiy think hukumt children nahi paraht tabhi unhon ne ye decis liy student bojh mat dalein he nahi hoga mulk hukumat he chizen sasti honi chaiy lakin yahan jati sabs pehl exm jo teacher hote class student pais le kar unko cheat karn dete tarahan jin student ne ach yad hota he unka haq mara jata he wese pak ba yehi horaha he lakin souchein kiy hamara iman kacha he ham bik jate bachon age
neg,eek mjhi ki cheez ki saza cri cri cri
neg,hilari ham chaat waghera bhe chun chun nikal detay hain rolley laugh
neg,unsure2 khaa lai warna janaaza nahi hoga pir aapka ..
neg,kisi liy zindagi k0i zindagi liy tha kisi ki andher0n guzri k0i sirf r0shni liy tha kisi kiy hukam sadir k0i sirf bandagi liy tha kisi m0habbat itni k0i sirf dushmani liy tha kisi huay l0g sairaab k0i sirf tishnagi liy tha w0 dunya tha masr00f k0i sirf usi liy tha hua kya agar t0rh dala ye dil bhi t0 sirf usi ke liy tha
neg,altafb notbasit devil 😣😣😣 karachi bi kismat maraa .. ye marta bi nae 😂😂😂
neg,altafb paisa shaukat khanum peshawar main laga dete ye din na dekhna parta
neg,get lost ... ye bekaar theori kahan khodi tum ... dramay sakta .. chaahay mard ya aorat
neg,guest ... yaqeenan main bohot sabar bardasht karoongi apnay shoher kaa ehtraam karoongi uss ki baatein bhi manoon gi uss bohot pyar karoongi .. agar kisi baat rooth jaayega to ussay zaroor manaoongi apni taraf poori koshish karoongi kay ussay jitni khushiyan de sakti hoon doon kiran ki tarah bewaqufiyan karoongi naa hi kisi baat bekaar anaa masla bana ker jhagray karoon gi
neg,hamidmirgeo wah ... kaash india pakistan sab ais hi jaayen tire hate ...
neg,imrankhanpti salam khan imrankhanpti reham aag lag hogi
neg,imrankhanpti apki hakumat chuhun nakam kardia kia kahein gain
neg,imrankhanpti sharam karo fasadi khan vision nahi curropt kpk poor niswar govt tamam sector ma fail bari curropt ma involv sharam karo nalayaq pti
neg,lalin life beauti ye ooper wala comment kisi ghatiya inssan meri fake id bana ker ... iss shakh kay paa itni bhi aqal kay apni naye creativ id banaay ... naqalchi jaali insaan
neg,lahorezindabad ... tum kiyun jealou budhi aoraton ki tarah jin poochhta bhi wesay tum mujhay budhi aorat hi lagti
neg,lahorezindabad ... main tum jealou budhi aoraton sada hua dimagh khaati ... tum jaa ker bhoosa khao ... tujhay main apnay bhari haat chamaat laga diya to cheeekh maaray baghair hi mer jaaegi foran
neg,adminsbara achha jo comment lagnay waali bekaar moder hata di
neg,anonym urf shezad .. tum bhi to meri bohot izzat afzae ki mujhay bohot mayoo tha ... ji direct main discuss jaa raha tha ... ussay stop kerna hi behter tha ... main apnay comment delet kerdiy thay iss liy naam ba chang hogya ... khair ... bhi ... tum mujhay achay insaan lagtay ... iss liy jawab day hoon ... main mardon darti hoon ... lakin zayda ter to bohot na pasand kerti hoon
neg,furri ... ma janti hon ye sirf drama serial .. main bhi serial kay charact ki hi baat ker ... ye qatal gharat ghulam farid nauman aijaz hi shroo ki apnay chachay sohail ahm kay baray betay maar ker apnay sagay baab bhi merwa diya nokarani kay zariy ... inteqaman chachay ne uss ki behen jeeji qatal to uss ghulam farid chachay kay doosray betay ghulam ali bhi maar diya ... ghulam farid ki waja nokrani bhi apni jaan gaye jiss uss kay baap qatal tha ... nokraniyon najaez taluaqt alag hain ... apni donon behenon ki bhi shaadi kerna chahta ... aisay muashari kay nasoor ghulam farid logon maar hi behter kha kam jahan paak
neg,hoorain siso sab thek bs thori garbar na ... ... ... .. islya bura buna
neg,kuku20 ari recip read kr sakta bs bna skta
neg,kuku20 han kanjoss na know kabhi nahi khilao
neg,kuku20 hunhh achi report nahi thumb
neg,kuku20 muje bnana ata jo banati hon bura banta bucktooth
neg,kuku20 ye kya baat hui dil torr arghh
neg,mere mulk kay nojawano hakomat ne sm pay tax lega ker hamar garm khoon pukara hain zindgi main hi rasta tha hum apn chahn walo sm kay zeria baat cheet ker sakt be zardari sahab humarey gale gont die dil khool ker muzamat kere hakomat ki ai ahmkana ghalti pay ta kay sm tax lega ker hami maaaaaaaar na dalin
neg,mere pyar mulk kay nojawano hakomat ne sm pay tax lega ker hamar garm khoon pukara hain zindgi main hi rasta tha hum apn chahn walo sm kay zeria baat cheet ker sakt be zardari sahab humarey gale gont die pl pakistan ke awam kehta dil khool ker muzamat kere hakomat ki ai ahmkana ghalti pay ta kay sm tax lega ker hami maaaaaaaar na dalin
neg,alaikum player ki ghalti juari manag yawar saeed hath kam sab pehl yawar saeed sazza milni chahiy agr sabit hojay player bhi sakht sakht saza milni chahiy ke player fix bare soch bhi player di hue saza yad kare hamari web bhut bhut thank jo action liya
neg,shaid new genrat apn dil kay hatho majboor kay ghalat kaam na ker lay pl voot kere hakomat kaam kern roke
neg,muj bohet dukh howa kay hakomet tax lagia ager ye gia hamar pass nahi rahe ga mobil choot jai ga jiss zindagi kay din pore kerna hi sirf hamara maqsad ga
neg,salam 14feb log tarha manatay colleg bahir univers gaat sorri mujhay din sy nafrat
neg,a6a ni hua jo dafa gya ... kha kum jahan pak ... lekin agr hi gussa to uthwa na len isi isi keh kar
neg,a6a to ye cell phone wala scene aap hota ... mji laga mein hi aesa karta ... wakae to news channel hi lgana chay tha bcz aamir liaqat call zameer jaag gya ... kal bakwa kar raha tha ... raat ranger guzari to hosh aa gya ... ranger ne kaha zara yaad kar aamir liaqat kya kar raha hapakistan zindabad
neg,a6a ... ub samaj aai nauman ijaz women cloth lectur qn dy rahi thi ... articl open krni pehli yaqeen tha mji mawra zaroor gi mein 2nd hand meera ... qb to tom boy look ok ... truck art asim ki jacket khoubsurat hota ... btw aap ne zardi ki plate maya ali miss kar diyawond articl thank veri much zahra fatima
neg,aab to quam ahsan kar lo lotero kma choke nasl khatem nahi kar sakti
neg,aap to mulk mn tbdeeli lana chahti thi kia ye tbdeeli hy katil aor hero mn frq nhi kr skti
neg,aaaaaaakh thuuuuuuuuuuuuuuuuuuuuuuuu your mooooonh origin post muqada
neg,kaa faisla halali ghair haslali honay kaa faisla hogaa judg ke wastay
neg,adalat yousaf raza geelani kam az kam month ki saza daini chahiyay meray khayl mutabiq judgu faisla under presur hu kar diya ji bhi ittifaq karta aitzaz ahsan bohat paisay milay hain ya bohat bara chaila main bass ye kahun gaa bass thora sabar jabar din bohat kam hain
neg,aeis parogarm chaln hi ni chahiy
neg,afridi ... too patli gali nikal le ... apni shakal nahen dekhana ... media
neg,agar zardari beta qatal hota to mein dekhta zardari kia karta meri pakistani awam guzarash hee kisi hukamran voot na remand deva ne katal kia tha to pakistan awam wahan mojud logoon chay tha remad wahan he katal kar deti hukamran pakistan nahi hen sab pakistani logo bahir niklo begerat hukamranoon misar ke tarha dafa kar
neg,agar zulkarnanin na jata to pakistan ye match na harta na pakistan ki itni beizzati hoti agar kisi ne dhumki di to us pakistan ke sath kia woh hum sub dushman inshallah jald hi jai ga
neg,agr thori si ghrat to cricket dora jao
neg,allah khair kare kia aakhiri saansay le rahe hamid mir
neg,allah ye topic kitnay thread mein discuss raha bura topic ... widey
neg,allah mulk ke 17 karor awam ke gooongi behri parliment awam ke haqooq ki khatar awwaz buland karni ki tofeek de ...
neg,allah shukr bijli ki qeemat barhaani zalimaana slab system ehtjaaj main pakistan ki ladi bhi shamil hain ... uk ke dr sahib ki posit baton ume ke awam jaagi gi ... lekun hamain parliment main baithi har us shak jagaana jiss ne khuda jaan deni ... allah ba ikhtiaar numa be bu logoon tofeek de ke woh bijli ki zalimaana slaib jo 101 unit hi bijli 96 rupe karni awwaz buland karein ... suna 101 unit hi bijli 36 rupe unit ki ... to sochen bill kitna aay ga
neg,allah karam hi kare countri pe ... mazk bana rakh dea hi educ ... ye log bacho ki base hi kharab ker dete to agay kya ume kare ge mulk futur hooo ... ... ... .. saal combin seper hi shoor hota he haal nhi pass to ghar mein hi beth humra futr to secur rehn de ... apn bacho uk main parhat hum logo yahan hi musbeebat mein daal rakha hi ... .. don mind ... realiti ... ... ...
neg,allah kri pakistan ma apni movi achi bna start jaen ma pakistani cultur he promot kia jaey na westrn cultur abhi to western cultur hi promot raha ha﻿
